돈암헬스,서울특별시 성북구 동소문로 86-15 (동소문동5가)
로망 휘트니스,"서울특별시 구로구 중앙로14길 31 (고척동,신성빌딩 5층)"
광진구민체육센터,"서울특별시 광진구 구천면로 14 (광장동, 광진구민체육센터)"
뉴파워짐,"서울특별시 동대문구 사가정로 207, 삼협메디스빌딩 6, 7층 (장안동)"
서울산업대스포츠센터,"서울특별시 노원구 공릉로 232  (공릉동,외)"
강동점 스포애니 주)케이디스포츠,"서울특별시 강동구 천호대로 1078 (성내동, 씨제이나인파크)"
백퍼센트짐,"서울특별시 성북구 동소문로 48 (동소문동3가,동도빌딩B1)"
보라매점 스포애니 주)케이디스포츠,서울특별시 관악구 봉천로 227 (봉천동)
플라이 짐,"서울특별시 서초구 서운로 3 (서초동,(지하1층))"
비타민플러스휘트니스,"서울특별시 도봉구 도당로 105 (방학동, (2.3층))"
알파 트레이닝센터,"서울특별시 영등포구 여의대방로 25, 지하101호 (신길동, 보라매 경남아너스빌)"
해밀톤 휘트니스센터,"서울특별시 용산구 이태원로27가길 26 (이태원동, 해밀톤호텔 별관)"
애플짐,"서울특별시 양천구 목동서로 349  (신정동,목동센트럴플라자 15층)"
에스라인 휘트니스,서울특별시 동대문구 천장산로 39 (이문동)
동우헬스,"서울특별시 성동구 천호대로 296, 5층 (용답동)"
초이스 짐,"서울특별시 도봉구 도봉로145길 51, 3층 (방학동)"
헬스보이짐&골프인 가산역점,"서울특별시 금천구 벚꽃로 278, 비127호 (가산동, SJ테크노빌)"
